No.	Phase	Date	St/Type	Pay ID	ID	Vendor	Description	Account	Actualized $
01		11/6/24	PAID			Petty Cash			4,800.00
			11/7/24	PC Transfer 	CK	COMPANY To 2417_01	PC Transfer for Per Diems		4,800.00
2		11/6/24				Mercury Bank
3		11/6/24				Oliver Zaciu
4		11/6/24	PAID			Credit Card 5147			9,593.22
	Actual	9/23/24	CRD	5147	01	Spirit Airlines	Airfares LA >> Tennessee (Prod and AC)	129	1,008.68
	Actual	9/24/24	CRD	5147	02	Airbnb	Airbnb Tullahoma	130	850.92
	Actual	9/24/24	CRD	5147	03	Thales Avionics Inc Spirit Airlines	In-Flight Wifi	129	27.98
	Actual	9/24/24	CRD	5147	04	Amazon	Printer Ink	223	73.24
	Actual	9/26/24	CRD	5147	05	Airbnb	Airbnb Tullahoma Extension	130	239.29
	Actual	9/26/24	CRD	5147	06	Airbnb	Airbnb Nashville	130	302.25
	Actual	9/26/24	CRD	5147	07	Airbnb	Airbnb Miami	130	882.20
	Actual	9/30/24	CRD	5147	08	Travel Guard	Rental Car Protection Plan	121	40.00
	Actual	9/30/24	CRD	5147	09	American Airlines	Flights Miami >> Boston	129	835.76
	Actual	10/1/24	CRD	5147	10	American Airlines	Flights Miami >> Boston	129	627.24
	Actual	10/1/24	CRD	5147	11	American Airlines	REFUNDS Flights Miami >> Boston	129	-15.89
	Actual	10/1/24	CRD	5147	12	American Airlines	REFUNDS Flights Miami >> Boston	129	-15.05
	Actual	10/1/24	CRD	5147	13	American Airlines	REFUNDS Flights Miami >> Boston	129	-15.89
	Actual	10/1/24	CRD	5147	14	American Airlines	REFUNDS Flights Miami >> Boston	129	-15.05
	Actual	10/1/24	CRD	5147	15	American Airlines	REFUNDS Flights Miami >> Boston	129	-193.47
	Actual	10/1/24	CRD	5147	16	American Airlines	REFUNDS Flights Miami >> Boston	129	-193.47
	Actual	10/1/24	CRD	5147	17	American Airlines	REFUNDS Flights Miami >> Boston	129	-193.47
	Actual	10/1/24	CRD	5147	18	American Airlines	REFUNDS Flights Miami >> Boston	129	-193.47
	Actual	11/6/24	CRD	5147	19	Airbnb	Airbnb Massachusetts	130	2,454.25
	Actual	10/1/24	CRD	5147	20	American Airlines	Flight Miami >> Boston (DP)	129	248.53
	Actual	10/2/24	CRD	5147	21	Delta Airlines	Flights Orlando >> San Diego	129	178.98
No.	Phase	Date	St/Type	Pay ID	ID	Vendor	Description	Account	Actualized $
	Actual	10/2/24	CRD	5147	22	Delta Airlines	Flights Orlando >> San Diego	129	178.98
